216,431,544
338,502,666
119,746,824
149,198,458
112,339,798
24,389,510
123,772,816
511,575,961
85,577,696
164,414,870
108,222,664
394,677,976
468,562,844
200,350,359
310,331,801
164,755,962
69,402,536
19,46,95
614,631,838
212,509,636
3,672,719
271,412,548
134,300,460
452,765,919
30,246,718
735,890,926
244,786,956
332,711,967
114,239,749
176,255,285
245,781,886
248,750,863
45,426,834
292,559,614
323,819,984
46,334,675
548,575,909
374,850,999
89,323,780
195,332,346
197,836,922
663,683,834
121,496,946
211,457,595
403,569,731
228,257,849
535,792,873
317,384,766
215,657,927
29,209,956
346,626,830
36,46,860
124,691,785
394,481,573
422,644,998
6,11,638
218,369,395
84,416,500
169,457,780
52,389,756
262,454,665
311,460,656
404,955,969
169,270,409
73,424,481
308,530,565
253,758,936
168,370,640
31,529,944
105,339,918
312,750,886
200,419,794
21,266,983
408,653,741
62,73,115
248,742,935
628,715,803
413,604,987
540,617,898
786,791,936
268,488,535
226,346,690
26,158,442
676,776,887
390,562,796
602,743,976
547,684,874
342,741,996
473,495,507
344,714,779
663,681,807
45,129,599
216,324,955
277,728,789
108,613,635
472,679,904
237,800,966
251,866,977
80,109,839
3,412,865
