399,663,936
169,312,550
127,386,829
257,366,493
202,375,690
195,352,607
113,317,702
37,423,913
225,355,510
364,487,584
396,508,632
573,655,878
162,267,407
579,625,809
306,678,955
609,708,931
567,668,906
133,359,774
2,360,916
588,663,910
2,401,965
197,659,955
158,356,698
308,655,939
634,652,849
17,382,947
4,382,939
643,650,788
120,430,861
577,615,756
198,357,599
11,409,926
664,668,794
449,561,647
79,378,868
406,674,943
514,665,914
270,411,506
626,674,785
409,645,927
60,360,888
211,357,473
612,718,926
16,417,923
693,686,853
579,687,912
389,695,956
0,412,970
344,632,939
8,397,888
12,372,925
13,388,930
284,430,620
152,306,605
480,528,594
602,637,730
622,688,896
417,689,954
411,668,941
536,608,781
252,414,658
315,670,947
682,670,851
620,681,886
708,713,868
260,618,946
30,421,874
607,678,901
542,682,942
211,337,474
130,384,814
447,549,641
242,379,469
162,398,781
216,417,705
4,390,964
16,409,934
31,403,925
136,455,881
588,654,877
191,351,477
222,399,511
26,422,918
672,672,852
582,682,920
583,649,752
148,326,676
10,412,950
502,667,933
582,679,910
4,368,935
189,317,559
652,686,838
123,427,868
661,693,838
196,327,518
464,550,611
0,323,989
304,412,480
251,431,547
