369,599,833
158,337,471
501,762,794
96,436,606
144,489,931
397,597,870
77,356,608
55,248,713
661,818,885
124,155,129
280,620,896
263,661,928
204,222,386
234,552,900
723,550,866
266,532,765
320,847,970
73,180,625
21,217,732
364,521,698
471,719,920
381,680,621
386,743,884
483,761,764
208,429,715
705,969,997
193,328,609
176,487,637
76,379,819
175,647,942
628,822,965
57,362,577
236,489,567
697,830,941
274,581,853
424,776,966
168,399,666
103,293,846
103,388,554
342,793,844
168,340,824
252,274,797
102,498,821
617,755,943
132,587,925
222,501,664
148,363,717
368,577,786
202,503,976
69,554,612
123,448,549
57,360,877
170,475,806
575,804,977
52,316,474
235,371,785
274,429,763
97,366,750
67,306,424
199,426,645
83,166,696
44,331,781
80,484,649
389,557,924
302,664,921
186,218,424
262,380,549
340,445,779
522,789,966
79,399,687
111,269,346
271,599,797
831,962,994
368,669,917
159,814,987
110,461,451
609,554,899
115,444,841
167,185,483
72,348,754
404,638,622
625,709,867
121,355,457
113,252,628
635,546,639
293,430,867
162,623,820
61,541,829
512,649,899
159,711,898
183,272,593
23,195,593
274,552,946
117,662,842
246,282,493
36,744,991
85,489,615
153,511,941
195,398,913
35,404,563
