338,468,547
134,456,698
35,368,803
214,421,422
49,392,805
330,490,582
400,680,975
68,383,771
223,371,376
373,496,568
402,635,911
289,707,991
124,360,429
427,628,956
90,449,766
84,423,778
14,396,894
138,461,732
7,344,886
222,379,398
404,579,904
150,404,531
362,579,904
9,394,914
448,647,945
85,474,744
47,364,756
58,395,811
81,417,747
137,811,999
324,445,508
246,753,996
481,624,905
448,572,871
137,458,696
385,531,623
5,397,925
519,587,852
308,499,622
298,503,552
265,760,994
194,790,998
145,420,673
393,675,969
13,351,836
444,591,806
132,446,657
397,704,979
437,585,896
4,344,933
265,470,564
35,370,811
118,447,703
452,569,737
497,622,924
94,383,675
310,684,980
114,303,320
201,344,356
217,353,461
542,675,929
463,633,918
369,589,905
508,558,740
3,384,933
36,371,782
482,600,840
2,324,924
187,415,450
471,601,893
62,412,790
460,624,843
493,592,841
441,592,871
17,387,852
10,321,845
40,872,999
503,673,916
43,387,795
158,400,488
72,409,764
433,613,804
422,604,854
19,342,844
302,495,666
405,485,526
129,440,702
160,858,999
35,426,808
58,458,805
339,519,629
153,410,536
13,392,889
263,734,993
192,799,998
334,466,547
410,711,984
354,638,955
202,452,560
161,441,642
