82,142,157
90,124,125
19,639,959
421,476,982
515,545,999
462,524,998
172,217,220
109,689,934
503,565,989
497,537,981
363,558,752
173,669,906
35,620,936
418,537,840
178,744,937
228,394,499
143,702,929
239,366,424
445,627,724
163,715,918
428,564,618
469,564,944
196,338,421
332,512,709
511,593,930
28,582,942
453,505,999
297,464,602
0,325,968
434,521,913
233,387,459
482,648,735
246,313,342
314,711,880
187,334,393
161,195,191
454,469,994
436,731,866
24,621,949
349,513,691
435,527,965
439,760,887
1,394,948
356,462,492
4,521,963
436,557,597
93,127,134
69,629,926
317,382,378
413,522,838
480,629,725
32,615,941
159,216,228
338,515,710
185,288,310
447,503,994
200,692,904
425,670,807
369,479,852
273,322,314
397,448,430
528,661,708
125,651,909
3,492,960
27,614,954
88,690,932
87,641,914
386,541,769
465,731,843
495,756,870
7,532,950
81,157,188
292,749,909
187,694,907
166,269,341
294,379,411
441,500,976
30,566,922
265,419,546
0,445,975
134,189,193
482,531,998
271,324,319
362,550,782
454,578,886
134,239,267
287,463,623
373,527,765
308,784,924
107,181,206
145,259,303
14,532,937
207,371,445
481,722,816
482,719,828
384,463,525
185,223,227
1,454,957
329,702,869
171,314,379
